USAF   ,WBAN  ,STATION NAME                  ,CTRY ,ST ,CALL  ,LAT     ,LON      ,ELEV(M)
010455 ,99999 ,                              ,     ,   ,      ,        ,         ,       
010460 ,99999 ,SORKJOSEN                     ,NO   ,   ,ENSR  ,+69.787 ,+020.959 ,+0004.9
010470 ,99999 ,KAUTOKEINO II                 ,NO   ,   ,ENKA  ,+69.017 ,+023.067 ,+0307.0
010490 ,99999 ,ALTA                          ,NO   ,   ,ENAT  ,+69.976 ,+023.372 ,+0002.7
010510 ,99999 ,SUOLOVUOPMI                   ,NO   ,   ,      ,+69.583 ,+023.533 ,+0374.0
010520 ,99999 ,HAMMERFEST AP                 ,NO   ,   ,ENHF  ,+70.683 ,+023.683 ,+0081.0
010530 ,99999 ,HAMMERFEST RADIO              ,NO   ,   ,      ,+70.683 ,+023.683 ,+0070.0
010550 ,99999 ,FRUHOLMEN FYR                 ,NO   ,   ,      ,+71.100 ,+023.983 ,+0014.2
010570 ,99999 ,CUOVDDATMOHKKI                ,NO   ,   ,      ,+69.367 ,+024.433 ,+0286.0
010580 ,99999 ,SUOLOVUOPMI LULIT             ,NO   ,   ,      ,+69.567 ,+023.533 ,+0381.0
010590 ,99999 ,BANAK                         ,NO   ,   ,ENNA  ,+70.069 ,+024.973 ,+0007.6
010610 ,99999 ,BRENNELV                      ,NO   ,   ,      ,+70.067 ,+025.117 ,+0034.0
010617 ,99999 ,OSEBERG                       ,NO   ,   ,      ,        ,         ,       
010620 ,99999 ,HOPEN ISLAND                  ,NO   ,   ,ENHO  ,+76.500 ,+025.067 ,+0010.0
010630 ,99999 ,KISTRAND III                  ,NO   ,   ,      ,+70.450 ,+025.217 ,+0006.0
010650 ,99999 ,KARASJOK                      ,NO   ,   ,      ,+69.467 ,+025.517 ,+0133.0
010660 ,99999 ,HELNES FYR                    ,NO   ,   ,      ,+71.067 ,+026.233 ,+0033.0
010670 ,99999 ,LEVAJOK-EVJEN                 ,NO   ,   ,      ,+69.900 ,+026.417 ,+0112.0
010671 ,99999 ,LEVAJOK-EVJEN                 ,NO   ,   ,      ,+69.900 ,+026.417 ,+0112.0
010680 ,99999 ,HONNINGSVAG/VALAN             ,NO   ,   ,ENHV  ,+71.017 ,+025.983 ,+0014.0
010720 ,99999 ,                              ,     ,   ,      ,        ,         ,       
010740 ,99999 ,MEHAMN                        ,NO   ,   ,ENMH  ,+71.033 ,+027.833 ,+0013.0
010750 ,99999 ,RUSTEFJELBMA                  ,NO   ,   ,      ,+70.400 ,+028.200 ,+0011.2
010760 ,99999 ,TANABRU                       ,NO   ,   ,      ,+70.217 ,+028.167 ,+0032.0
010780 ,99999 ,SLETTNES FYR                  ,NO   ,   ,      ,+71.100 ,+028.233 ,+0010.0
010820 ,99999 ,NYRUD                         ,NO   ,   ,      ,+69.150 ,+029.250 ,+0056.0
010830 ,99999 ,BERLEVAG                      ,NO   ,   ,ENBV  ,+70.867 ,+029.033 ,+0013.0
010840 ,99999 ,PASVIK                        ,NO   ,   ,      ,+69.450 ,+030.033 ,+0027.0
010850 ,99999 ,BUGOYFJORD                    ,NO   ,   ,      ,+69.850 ,+029.417 ,+0008.0
010860 ,99999 ,BATSFJORD                     ,NO   ,   ,ENBS  ,+70.600 ,+029.693 ,+0149.4
010875 ,99999 ,HEIMDAL OIL PLATFORM          ,NO   ,   ,ENHM  ,+59.567 ,+002.217 ,+0090.0
010876 ,99999 ,NORNE OIL PLATFORM            ,NO   ,   ,ENNE  ,+66.017 ,+008.083 ,+0090.0
010877 ,99999 ,TROLL A  OIL PLATFORM         ,NO   ,   ,ENQA  ,+60.633 ,+003.717 ,+0090.0
010878 ,99999 ,SNORRE A  OIL PLATFORM        ,NO   ,   ,ENSE  ,+61.450 ,+002.133 ,+0090.0
010879 ,99999 ,SNORRE B  OIL PLATFORM        ,NO   ,   ,ENQR  ,+61.533 ,+002.200 ,+0090.0
010880 ,99999 ,VADSO                         ,NO   ,   ,ENVD  ,+70.067 ,+029.850 ,+0039.0
010881 ,99999 ,NARVIK III/FRAMNES            ,NO   ,   ,      ,+68.467 ,+017.500 ,+0023.0
010882 ,99999 ,ROROS                         ,NO   ,   ,ENRO  ,+62.578 ,+011.342 ,+0626.1
010883 ,99999 ,SANDANE/ANDA                  ,NO   ,   ,      ,+61.833 ,+006.117 ,+0060.0
010884 ,99999 ,GEITERYGGEN                   ,NO   ,   ,ENSN  ,+59.185 ,+009.567 ,+0141.1
010885 ,99999 ,BATSFJORD                     ,NO   ,   ,      ,+70.600 ,+029.733 ,+0153.0
010886 ,99999 ,SLEIPNER A OIL PLATFORM       ,NO   ,   ,ENSL  ,+58.367 ,+001.900 ,+0030.0
010887 ,99999 ,TROLL C OIL PLATFORM          ,NO   ,   ,ENQC  ,+60.886 ,+003.610 ,+0020.0
010890 ,99999 ,HOYBUKTMOEN                   ,NO   ,   ,ENKR  ,+69.726 ,+029.893 ,+0086.3
010920 ,99999 ,MAKKAUR FYR                   ,NO   ,   ,      ,+70.700 ,+030.083 ,+0009.0
010970 ,99999 ,SVARTNES                      ,NO   ,   ,      ,+70.350 ,+031.050 ,+0012.0
010980 ,99999 ,VARDO                         ,NO   ,   ,      ,+70.367 ,+031.100 ,+0015.0
010985 ,99999 ,                              ,     ,   ,      ,        ,         ,       
010986 ,99999 ,                              ,     ,   ,      ,        ,         ,       
010987 ,99999 ,                              ,     ,   ,      ,        ,         ,       
010990 ,99999 ,VARDO AP / SVARTNES           ,NO   ,   ,ENSS  ,+70.355 ,+031.045 ,+0012.8
011010 ,99999 ,BOGUS NORWEGIAN               ,NO   ,   ,      ,        ,         ,       
011020 ,99999 ,SKLINNA FYR                   ,NO   ,   ,      ,+65.200 ,+011.000 ,+0016.0
011025 ,99999 ,HEIDRUN                       ,NO   ,   ,ENHE  ,+65.333 ,+007.317 ,+0080.0
011030 ,99999 ,LEKA                          ,NO   ,   ,      ,+65.100 ,+011.700 ,+0047.0
011040 ,99999 ,ROTVAER                       ,NO   ,   ,      ,+68.367 ,+015.950 ,+0008.0
011050 ,99999 ,ROTVAER                       ,NO   ,   ,      ,+68.367 ,+015.950 ,+0008.0
011051 ,99999 ,SKOMVAER (LGT-H)              ,NO   ,   ,      ,+67.417 ,+011.883 ,+0018.0
011060 ,99999 ,ROEST III                     ,NO   ,   ,      ,+67.517 ,+012.100 ,+0002.0
011070 ,99999 ,ROST (NOR-AFB)                ,NO   ,   ,ENRS  ,+67.517 ,+012.100 ,+0004.0
011080 ,99999 ,VEGA-VALLSJO                  ,NO   ,   ,      ,+65.700 ,+011.850 ,+0009.1
011090 ,99999 ,SKALVAER                      ,NO   ,   ,      ,+65.867 ,+012.183 ,+0006.0
011100 ,99999 ,YTTERHOLMEN FYR               ,NO   ,   ,      ,+66.000 ,+011.683 ,+0033.0
011110 ,99999 ,BRONNOYSUND                   ,NO   ,   ,      ,+65.467 ,+012.217 ,+0005.0
011120 ,99999 ,BRONNOY                       ,NO   ,   ,ENBN  ,+65.461 ,+012.218 ,+0007.6
011130 ,99999 ,GLOMFJORD                     ,NO   ,   ,      ,+66.800 ,+013.983 ,+0039.0
011133 ,99999 ,DAGALI                        ,NO   ,   ,ENDI  ,+60.417 ,+008.513 ,+0798.0
011140 ,99999 ,REIPA                         ,NO   ,   ,      ,+66.900 ,+013.633 ,+0008.0
011150 ,99999 ,MYKEN                         ,NO   ,   ,      ,+66.767 ,+012.483 ,+0013.0
011160 ,99999 ,STOKKA                        ,NO   ,   ,ENST  ,+65.950 ,+012.467 ,+0017.1
011170 ,99999 ,TJOTTA                        ,NO   ,   ,      ,+65.817 ,+012.417 ,+0021.0
011210 ,99999 ,SOLVAER III                   ,NO   ,   ,      ,+66.367 ,+012.617 ,+0010.0
011220 ,99999 ,KJAERSTAD                     ,NO   ,   ,ENMS  ,+65.784 ,+013.215 ,+0072.2
011240 ,99999 ,SNASA                         ,NO   ,   ,      ,+64.167 ,+012.467 ,+0195.0
011310 ,99999 ,GLAPEN LIGHTHOUSE             ,NO   ,   ,      ,+67.883 ,+013.050 ,+0031.0
011320 ,99999 ,MAJAVATN V                    ,NO   ,   ,      ,+65.167 ,+013.367 ,+0319.0
011330 ,99999 ,LAKSFORS                      ,NO   ,   ,      ,+65.617 ,+013.283 ,+0050.0
011340 ,99999 ,MAJAVATN III                  ,NO   ,   ,      ,+65.183 ,+013.417 ,+0339.0
011350 ,99999 ,SELJELIA                      ,NO   ,   ,      ,+66.117 ,+013.583 ,+0123.0
011370 ,99999 ,STOTT                         ,NO   ,   ,      ,+66.933 ,+013.450 ,+0012.0
011380 ,99999 ,TENNHOLMEN (LGT-H)            ,NO   ,   ,      ,+67.300 ,+013.500 ,+0014.0
011390 ,99999 ,VAEROY HELIPORT               ,NO   ,   ,ENVR  ,+67.650 ,+012.717 ,+0004.0
011410 ,99999 ,LEKNES                        ,NO   ,   ,ENLK  ,+68.150 ,+013.617 ,+0026.0
011430 ,99999 ,DRAG-AJLUOKTA                 ,NO   ,   ,      ,+68.050 ,+016.083 ,+0019.0
011440 ,99999 ,HELLIGVAER II                 ,NO   ,   ,      ,+67.400 ,+013.883 ,+0024.0
011450 ,99999 ,KVALNES I LOFOTEN             ,NO   ,   ,      ,+68.350 ,+013.967 ,+0015.0
011460 ,99999 ,SKAMDAL                       ,NO   ,   ,      ,+66.233 ,+013.883 ,+0005.0
011470 ,99999 ,VARNTRESK                     ,NO   ,   ,      ,+65.833 ,+014.183 ,+0406.0
011480 ,99999 ,STORFORSHEI                   ,NO   ,   ,      ,+66.383 ,+014.517 ,+0110.0
011490 ,99999 ,RANA-BASMOEN                  ,NO   ,   ,      ,+66.333 ,+014.100 ,+0042.0
011500 ,99999 ,HJARTASEN                     ,NO   ,   ,      ,+66.500 ,+014.950 ,+0251.0
011501 ,99999 ,HATTFJELLDAL-KRUTA            ,NO   ,   ,      ,+65.683 ,+014.167 ,+0385.0
011505 ,99999 ,                              ,     ,   ,      ,        ,         ,       
011510 ,99999 ,MOIRANA                       ,NO   ,   ,ENRA  ,+66.367 ,+014.300 ,+0070.0
011520 ,99999 ,BODO                          ,NO   ,   ,ENBO  ,+67.269 ,+014.365 ,+0012.8
011530 ,99999 ,BODO-VAGONES                  ,NO   ,   ,      ,+67.283 ,+014.450 ,+0033.0
011540 ,99999 ,LITLOY FYR                    ,NO   ,   ,      ,+68.583 ,+014.300 ,+0030.0
011550 ,99999 ,BO I VESTERALEN II            ,NO   ,   ,      ,+68.633 ,+014.467 ,+0012.0
011560 ,99999 ,BO I VESTERALEN               ,NO   ,   ,      ,+68.600 ,+014.433 ,+0007.6
011580 ,99999 ,SETSA                         ,NO   ,   ,      ,+67.167 ,+015.483 ,+0008.0
011600 ,99999 ,SKROVA FYR                    ,NO   ,   ,      ,+68.150 ,+014.650 ,+0011.0
011610 ,99999 ,SVOLVAER/HELLE                ,NO   ,   ,ENSH  ,+68.250 ,+014.667 ,+0009.0
011620 ,99999 ,STORKMARKNES/SKAGEN           ,NO   ,   ,ENSK  ,+68.583 ,+015.017 ,+0003.0
011630 ,99999 ,BOLNA                         ,NO   ,   ,      ,+66.500 ,+015.250 ,+0549.0
011650 ,99999 ,GROTOY                        ,NO   ,   ,      ,+67.833 ,+014.783 ,+0006.0
011670 ,99999 ,SORTLAND                      ,NO   ,   ,      ,+68.700 ,+015.417 ,+0003.0
011680 ,99999 ,KLEIVA I SORTLAND             ,NO   ,   ,      ,+68.650 ,+015.283 ,+0023.0
011690 ,99999 ,SALTDAL-NORDNES               ,NO   ,   ,      ,+66.933 ,+015.317 ,+0037.0
011691 ,99999 ,OVRE SALTDAL                  ,NO   ,   ,      ,+66.967 ,+015.317 ,+0026.0
011700 ,99999 ,FAUSKE-VETEN                  ,NO   ,   ,      ,+67.233 ,+015.317 ,+0165.0
011720 ,99999 ,FINNOY I HAMAROY              ,NO   ,   ,      ,+68.000 ,+015.617 ,+0053.0
011730 ,99999 ,                              ,     ,   ,      ,        ,         ,       
011751 ,99999 ,LODINGEN                      ,NO   ,   ,      ,+68.400 ,+016.000 ,+0010.0
011760 ,99999 ,KONGSVIK                      ,NO   ,   ,      ,+68.567 ,+016.267 ,+0025.0
011800 ,99999 ,HARSTAD                       ,NO   ,   ,      ,+68.800 ,+016.533 ,+0045.0
011820 ,99999 ,EVENSKJER                     ,NO   ,   ,      ,+68.583 ,+016.583 ,+0007.0
011830 ,99999 ,EVENES                        ,NO   ,   ,ENEV  ,+68.491 ,+016.678 ,+0025.6
011840 ,99999 ,SANDSOY I SENJA               ,NO   ,   ,      ,+68.933 ,+016.683 ,+0045.0
011841 ,99999 ,SANDSOY                       ,NO   ,   ,      ,+68.933 ,+016.683 ,+0045.0
011890 ,99999 ,LILAND                        ,NO   ,   ,      ,+68.483 ,+016.883 ,+0019.0
011895 ,99999 ,                              ,     ,   ,      ,        ,         ,       
011910 ,99999 ,SKJOMEN-SLETTJORD             ,NO   ,   ,      ,+68.283 ,+017.317 ,+0006.0
011920 ,99999 ,STRAUMSNES                    ,NO   ,   ,      ,+68.417 ,+017.650 ,+0200.0
011930 ,99999 ,NARVIK III/FRAMNES            ,NO   ,   ,ENNK  ,+68.467 ,+017.500 ,+0023.0
011940 ,99999 ,NARVIK III                    ,NO   ,   ,ENNK  ,+68.467 ,+017.500 ,+0023.0
011960 ,99999 ,TENNEVOLL                     ,NO   ,   ,      ,+68.750 ,+017.817 ,+0021.0
011980 ,99999 ,DIVIDALEN II                  ,NO   ,   ,      ,+68.783 ,+019.700 ,+0204.0
011990 ,99999 ,SIHCCAJAVRI                   ,NO   ,   ,      ,+68.750 ,+023.533 ,+0382.0
012030 ,99999 ,KRAKENES                      ,NO   ,   ,      ,+62.033 ,+004.983 ,+0041.0
012050 ,99999 ,SVINOY LH                     ,NO   ,   ,      ,+62.333 ,+005.267 ,+0037.2
012070 ,99999 ,FISKABYGD                     ,NO   ,   ,      ,+62.100 ,+005.583 ,+0041.0
012090 ,99999 ,ORSTA-VOLDA/HOVDEN            ,NO   ,   ,ENOV  ,+62.183 ,+006.067 ,+0074.0
012091 ,99999 ,ORSTA-VOLDA/HOVD              ,NO   ,   ,ENOV  ,+62.183 ,+006.050 ,+0074.0
012100 ,99999 ,VIGRA                         ,NO   ,   ,ENAL  ,+62.560 ,+006.110 ,+0021.0
012120 ,99999 ,ONA II                        ,NO   ,   ,      ,+62.867 ,+006.533 ,+0015.0
012140 ,99999 ,REKDAL                        ,NO   ,   ,      ,+62.650 ,+006.767 ,+0043.0
012150 ,99999 ,HJELVIK MYRBO                 ,NO   ,   ,      ,+62.620 ,+007.230 ,+0035.0
012160 ,99999 ,HJELVIK I ROMSDAL             ,NO   ,   ,      ,+62.617 ,+007.217 ,+0016.0
012161 ,99999 ,GJERMUNDNES                   ,NO   ,   ,      ,+62.617 ,+007.167 ,+0049.0
012170 ,99999 ,ARO                           ,NO   ,   ,ENML  ,+62.745 ,+007.263 ,+0003.0
012180 ,99999 ,TAFJORD                       ,NO   ,   ,      ,+62.233 ,+007.417 ,+0017.0
012200 ,99999 ,MANNEN                        ,NO   ,   ,      ,+62.450 ,+007.767 ,+1294.0
012210 ,99999 ,TAGDALEN                      ,NO   ,   ,      ,+63.050 ,+009.083 ,+0415.0
012220 ,99999 ,                              ,     ,   ,      ,        ,         ,       
012230 ,99999 ,KVERNBERGET                   ,NO   ,   ,ENKB  ,+63.112 ,+007.825 ,+0062.2
012240 ,99999 ,AALESUND                      ,NO   ,   ,      ,+62.467 ,+006.217 ,+0050.0
012250 ,99999 ,VEIHOLMEN                     ,NO   ,   ,      ,+63.517 ,+007.950 ,+0005.0
012270 ,99999 ,INNERDALEN                    ,NO   ,   ,      ,+62.717 ,+008.783 ,+0405.0
012273 ,99999 ,TINGVOLL-HANEM                ,NO   ,   ,      ,+62.833 ,+008.300 ,+0069.0
012280 ,99999 ,SULA                          ,NO   ,   ,      ,+63.850 ,+008.467 ,+0006.0
012300 ,99999 ,BJORLI                        ,NO   ,   ,      ,+62.267 ,+008.200 ,+0579.0
012310 ,99999 ,LESJASKOG                     ,NO   ,   ,      ,+62.233 ,+008.367 ,+0621.0
012320 ,99999 ,VINJEORA II                   ,NO   ,   ,      ,+62.450 ,+007.850 ,+0067.0
012330 ,99999 ,DOMBAAS                       ,NO   ,   ,      ,+62.083 ,+009.117 ,+0638.0
012340 ,99999 ,ORKDAL-THAMSHAMN              ,NO   ,   ,      ,+63.317 ,+009.850 ,+0004.0
012350 ,99999 ,DOMBAS-KIRKENAER              ,NO   ,   ,      ,+62.083 ,+009.133 ,+0645.0
012360 ,99999 ,KJOREMSGRENDE                 ,NO   ,   ,      ,+62.100 ,+009.050 ,+0626.0
012370 ,99999 ,HITRA                         ,NO   ,   ,      ,+63.517 ,+009.117 ,+0013.0
012380 ,99999 ,FOKSTUA II                    ,NO   ,   ,      ,+62.117 ,+009.283 ,+0974.0
012390 ,99999 ,HJERKINN II                   ,NO   ,   ,      ,+62.217 ,+009.550 ,+1012.0
012400 ,99999 ,HALTEN FYR                    ,NO   ,   ,      ,+64.167 ,+009.400 ,+0016.0
012410 ,99999 ,ORLAND                        ,NO   ,   ,ENOL  ,+63.699 ,+009.604 ,+0008.5
012420 ,99999 ,AFJORD II                     ,NO   ,   ,      ,+63.967 ,+010.217 ,+0030.0
012430 ,99999 ,SONGLI                        ,NO   ,   ,      ,+63.333 ,+009.650 ,+0300.0
012450 ,99999 ,OPPDAL-SETER                  ,NO   ,   ,      ,+62.600 ,+009.667 ,+0606.0
012480 ,99999 ,VALLERSUND                    ,NO   ,   ,      ,+63.850 ,+009.733 ,+0004.0
012500 ,99999 ,FOLLDAL-FREDHEIM              ,NO   ,   ,      ,+62.133 ,+010.000 ,+0694.0
